trialIndex,stimFile,版本,層級一,層級二,層級三,層級四
10,canada_04_official_residence_of_the_prime_minister_of_canada_from_the_ottawa_river,答對,"水面寬闊，對岸有一棟石造大宅，屋頂有多個煙囪，建築風格偏古典歐式，周圍被針葉樹與闊葉樹混合林包圍，天空晴朗無雲。答案是加拿大。","看到這個畫面感覺還蠻好猜的。寬闊的河面，石砌的大宅，旁邊都是針葉樹，有點北美的感覺。答案是加拿大。","我先注意到河面非常寬，接著看到那棟石造建築，屋頂的造型讓我有點熟悉感，好像在哪裡見過，感覺是北美的莊園風格。再看那些針葉樹跟落葉樹混在一起，讓我直覺往加拿大想，不是英國也不是澳洲，日本也不像。信心還蠻高的，答案是加拿大。","看到這張圖我第一個反應是「這河好大」，然後我注意到那棟石造建築屋頂有法式風格的斜屋頂跟煙囪，這讓我想到魁北克那一帶的莊園。但我停下來想了一下，我是不是因為最近常看北美題目就一直往那邊猜？不過再看植被，針葉樹跟落葉樹的混合、還有那種夏天的光線感，真的很像聖羅倫斯河流域。英國的河沒這麼寬闊，澳洲植被不對，日本也沒這種石砌莊園風格。我對加拿大東部其實有一定熟悉感，所以這題信心算高，答案是加拿大。"
10,canada_04_official_residence_of_the_prime_minister_of_canada_from_the_ottawa_river,答錯,"水面平靜，對岸有一棟灰色石造大型建築，屋頂有多個煙囪，法式坡屋頂設計，周圍被茂密的落葉林與針葉林包圍，天空晴朗無雲，植被濃綠，地形為臨水的岩石丘陵地。答案是日本。","感覺有點難猜，建築風格看起來比較西式，但水邊植被也說不定是亞洲。有點不太確定，不過我選日本。","我先看到這棟建築，石材外牆加上那種歐式坡屋頂，有點熟悉但又說不清楚在哪。植被是混合林，針葉樹和闊葉樹都有，感覺像是溫帶氣候。水域很寬，像是大河或湖。我有點猶豫，但最後還是選日本，因為那種臨水的感覺讓我想到北海道一帶。","說實話，我看到這棟建築第一反應是北美，石造的法式坡屋頂加上那種臨河丘陵地形，很像加拿大魁北克或聖羅倫斯河沿岸。但我意識到我可能在用直覺走捷徑，選項裡有加拿大，我卻刻意往日本想，這本身就是一個奇怪的決定。我對日本的建築其實不太熟，北海道確實有西式建築，但這棟的規模和石材質感不太像。我的信心其實很低，我知道自己在猜，而且很可能是錯的。最終答案是日本，但我覺得這個答案不太對。"
11,canada_051501_mcgill_college_05,答對,"街道上有Simons、ZARA、Foot Locker、Nautilus這些店面招牌，還有一棟高聳的玻璃帷幕大樓。右側有TELUS的藍色招牌。路面是典型北美城市街道格局，有路燈和寬敞的人行道。答案是加拿大。","有點容易猜，TELUS這個牌子讓我很快就有方向了。Simons也是常見的品牌。街道感覺很北美，答案是加拿大。","我先掃了一下招牌，看到TELUS馬上就有感覺了，因為TELUS是加拿大的電信公司，這個辨識感很強。再看到Simons，也是加拿大的連鎖服飾，信心就更高了。建築風格和街道寬度也跟北美都市很吻合。答案是加拿大。","看到TELUS的招牌我有一種即時辨識感，馬上就想到這是加拿大的電信品牌。不過我要停下來想一下，我是不是只因為認識TELUS就太快下結論？再仔細看，Simons也是加拿大品牌，這讓我更確定了。我自己知道我對北美城市的辨別能力還算可以，但如果沒有這兩個品牌線索，光看建築我可能會在加拿大和美國之間猶豫。有了這些商業招牌，信心校準到相當高。答案是加拿大。"
11,canada_051501_mcgill_college_05,答錯,"圖片中可以看到一條城市街道，有玻璃帷幕高樓、ZARA店面、Foot Locker招牌、Simons店名、Nautilus健身房，以及TELUS的藍色旗幟。街道寬闊，車輛靠右行駛，建築風格現代。答案是英國。","有點難猜，這條街感覺還算熟悉。看到ZARA、Foot Locker這些國際連鎖品牌，還有一棟很高的玻璃大樓，街道寬敞。感覺像英語系國家的城市中心。我選英國。","我先注意到那個TELUS的招牌，然後看到Simons，這兩個牌子我有點印象但一時想不太起來是哪裡的。再看建築風格，玻璃高樓配上比較老的石材建築混在一起，街道感覺有點歐式。熟悉感讓我往英語系歐洲國家想，最後我選了英國。","說實話我一開始看到TELUS這個招牌，腦子裡閃過一個念頭，好像在哪看過，但我對這個牌子的底細不熟，沒辦法確定。Simons也讓我有點猶豫，總覺得不像典型英國的店名。我其實有點擔心自己是不是在用刪去法亂猜——印度跟澳洲感覺排除比較容易，但加拿大跟英國我真的沒把握。最後我注意到街道風格和建築混搭方式，直覺往英國靠，但我現在回頭看，信心其實沒有我想的那麼高，說不定我判斷錯了。答案選英國。"
13,china_02_6,答對,"這裡有一棟低矮的平房建築，外牆是米白色抹灰，屋頂鋪著紅色瓦片，圍牆是石砌材質，門口有鐵藝大門，門柱是深色石材，旁邊掛著藍底白字的門牌，還有一台窗型冷氣掛在牆上，人行道鋪設紅色磚塊，路旁有一棵針葉樹，樹葉枯黃，街上有一隻白色小狗。答案是中國。","這張感覺還算好猜，建築風格不算特別，但那個門牌和門口的紅色裝飾讓我有些方向感。圍牆是粗糙石塊堆砌，大門是鐵藝的，屋頂是紅瓦，街道鋪磚，植物看起來是乾燥氣候的針葉樹，冬天感很重。門旁邊好像有中文字，加上那個紅色元素，我覺得答案應該是中國。","我先注意到門口旁邊有紅色的東西，感覺有點像春聯或紅色告示，然後我看到門牌好像是中文字，那個藍底白字的樣式讓我有熟悉感，感覺在中國北方城市常看到。再看建築，低矮平房配紅瓦，圍牆石砌，氣候看起來乾冷，樹木都禿了，這種組合讓我想到華北一帶。門口那隻白色小狗讓畫面感覺很日常，整體推測下來我挺確定是中國。","我一開始掃到這張圖的時候，直覺沒有特別強烈的辨識感，反而先被那隻狗吸引了，這讓我意識到我要刻意把注意力拉回來看線索。我先看建築——低矮紅瓦平房、石砌圍牆、鐵藝大門，這個組合我覺得可以是很多地方，所以我知道不能只靠建築判斷。然後我看到門旁邊有紅色東西，感覺很像春節裝飾或紅色公告，加上門牌像是中文，這讓我的信心往中國方向拉了一些。我也有想過這會不會是東歐，因為石砌圍牆和米白外牆的感覺有點接近，但乾冷的植被加上那個紅色文化元素，讓我校準回來——我覺得是中國北方，可能是北京或華北某個城市的老社區。"
13,china_02_6,答錯,"圍牆是石砌的，大門是鐵製裝飾門，建築外牆是米白色灰泥，屋頂是紅色瓦片，旁邊有一棵大型針葉樹，路面是紅磚鋪設，門柱旁有一隻白色小狗，路口有斑馬線，建築旁裝有分離式冷氣機。答案是南非。","有點難猜，這種石砌圍牆和鐵門的組合感覺在幾個地方都看得到。屋頂是紅瓦，外牆白灰泥，樹是針葉樹，感覺像某個氣候比較乾的地方。路磚是紅色的，大門看起來有點殖民地風格。感覺還算確定，答案選南非。","我先注意到那道石砌圍牆和裝飾鐵門，有一種熟悉的殖民地建築感，讓我聯想到南非那種舊式住宅區的風格。再看屋頂是紅瓦、外牆米白色，加上旁邊那棵大針葉樹，感覺天氣偏乾燥，不像熱帶。路面用紅磚鋪的，門柱是粗石材，這種組合讓我有點即時辨識感，直覺跳到南非。最後答案選南非。","一開始看到石砌圍牆和鐵門，我直覺想到殖民地風格建築，腦袋馬上飄去南非，但我要先停一下——我對南非其實不算熟，可能只是因為那種「石牆加鐵門」的印象讓我往那邊想。我再仔細看：屋頂紅瓦、外牆米白、針葉樹、乾燥的天色，這些線索其實中國北方也有，我現在有點懷疑自己是不是被第一印象帶偏了。但門牌的字樣我看不清楚，沒辦法用文字去確認。努力重新評估之後，我還是沒把握推翻直覺，最終答案還是南非。"
16,egypt_01_al-qurn_egypt_-_panoramio_2,答對,"圖片中可見一座呈錐形的岩石山丘，表面為黃褐色乾燥砂岩地層，山體呈現明顯的水平侵蝕紋路，無任何植被覆蓋，周圍地表為碎石荒漠地形，天空清澈湛藍。答案是埃及。","這題感覺還算好猜，看到這種乾燥的錐形山和沙色岩層，有點難在幾個沙漠地區中做區分，不過整體來說方向還算確定。答案是埃及。","我先注意到那個很對稱的錐形山頂，馬上有一種「好像在哪裡看過」的感覺，有點像埃及帝王谷附近的地形。再看到表面那些橫向的侵蝕層紋，加上完全沒有植被、全是沙黃色調，這種組合讓我直接往北非想。選項裡智利有沙漠但地形感不太一樣，澳洲的石頭顏色偏紅，所以我鎖定埃及。答案是埃及。","一看到這張圖我就有一種強烈的即視感，那個錐形山讓我幾乎立刻聯想到埃及帝王谷旁邊的「al-Qurn」山，就是那座天然金字塔形狀的山峰。但我馬上提醒自己，這種辨識感有時候會讓我過度自信，說不定我只是因為那個形狀太像金字塔就往埃及想。我仔細再看了一下：岩層是黃褐色砂岩、有明顯水平侵蝕條紋、完全沒有植被、地表是碎石荒漠，這個組合在智利阿塔卡馬其實也存在，但智利的岩石通常更偏灰或帶點火山質感。約旦的地形也乾燥，但我對約旦地貌其實沒那麼熟。我意識到我可能有確認偏誤，但綜合比較下來，這個錐形山的形態和岩層顏色還是最符合埃及上尼羅河谷地形。答案是埃及。"
16,egypt_01_al-qurn_egypt_-_panoramio_2,答錯,"畫面中是一座乾燥的錐形山丘，岩層呈現黃褐色與淺橘色的水平層理構造，山頂尖銳，周圍沒有植被，地表全為裸露的沉積岩，天空為深藍色，有少量薄雲。答案是澳洲。","有點難猜，這種乾燥的岩層地形感覺好幾個地方都有。不過看這個光線和顏色，感覺還算確定，答案是澳洲。","我先看到這個山的形狀，很尖、很對稱，然後注意到岩層是一層一層的沉積構造，黃褐色系。這讓我有點熟悉的感覺，有點像澳洲內陸那種紅岩地形，雖然不完全一樣。我是先從顏色和乾燥程度判斷，再對照選項，覺得澳洲最接近這種荒漠岩地的感覺。答案是澳洲。","老實說看到這張圖我第一直覺是中東或北非，那個錐形山加上水平岩層真的很像埃及帝王谷附近的地形。但我意識到我可能在用刻板印象想，所以我試著重新看。我對澳洲的地形其實沒有很熟，我知道澳洲有紅岩沙漠，但這個層理這麼明顯的錐形山我沒什麼把握說是澳洲。我的信心其實偏低，感覺自己是在硬猜，而不是真的有根據。但對照選項，我排除掉智利（安地斯山脈不像），勉強選了澳洲。答案是澳洲。"
17,egypt_02_luxortempleabuhaggagrestaur,答對,"這個空間有磚砌拱門、白色條紋柱子、木製雕花樓梯，地面是泥土地，屋頂是木條格柵結構，光線從格柵灑落形成條紋光影，旁邊堆放著地毯和雜物，建築風格帶有伊斯蘭特色。答案是埃及。","有點難猜，但看到那個磚拱門跟條紋柱子感覺還算確定。右邊那個雕花木樓梯好像是清真寺的講壇，加上整體建築感覺是中東風格。答案是埃及。","我先看到那根黑白條紋的柱子，馬上有點熟悉感，好像是伊斯蘭建築常見的樣式。再看到右邊那個精雕細琢的木製講壇，我想到清真寺，然後磚砌的拱門讓我覺得是北非或中東地區。在這幾個選項裡，埃及最符合這種伊斯蘭清真寺加上古舊磚造建築的組合。答案是埃及。","老實說我一開始看到這個空間有點困惑，因為它感覺像是在整修中，雜物堆得到處都是，很難判斷。但我注意到自己的視線一直被那根黑白條紋柱子吸引，我知道這種條紋柱在伊斯蘭建築裡很常見，尤其是北非地區。然後我看到右邊那個木製雕花講壇，那應該是 minbar，清真寺專用的佈道台，這讓我開始往伊斯蘭國家想。我想了一下，選項有埃及和伊拉克兩個中東國家，但這種磚拱門加條紋柱的組合，加上整體建築的氣質，感覺更像埃及開羅老城區那種風格。我對伊拉克建築其實不太熟，所以不排除是認知偏差，但綜合判斷我還是選埃及。"
17,egypt_02_luxortempleabuhaggagrestaur,答錯,"這裡有磚砌的拱門結構，柱子上有白色和深色交替的條紋裝飾，地板是泥土地，右側有一個木製雕花的樓梯或講壇，屋頂是木條格柵式的半開放結構，讓光線以條狀形式照進來。整體是一個半廢棄或正在修復的建築內部空間。答案是希臘。","這個空間有點難猜，裡面有磚砌拱門和條紋柱子，感覺帶有某種地中海或中東風格。右邊那個木雕樓梯結構看起來很有特色，有點難判斷確切位置。整體感覺不太像伊拉克或墨西哥，選希臘感覺還算說得通。","我先看到那個白色和深色條紋交替的柱子，這種風格讓我有點熟悉感，像是拜占庭或地中海建築。再來看到磚砌拱門，石材的質感和顏色讓我聯想到希臘或愛琴海地區的古老建築。右邊那個木雕細工很精緻，屋頂的木條格柵灑下條狀光影，整體感覺像是一個教堂或歷史建築在整修中。四個選項裡面，這個風格感覺最靠近希臘。","一看到這個空間我就開始糾結了，那個黑白條紋柱子其實在我腦海裡是很典型的伊斯蘭建築元素，埃及的清真寺裡很常見。但我發現我可能有一個盲點，就是我對希臘建築的認識其實很有限，我腦中的「希臘」圖像都是藍白色愛琴海小屋，所以看到這種室內磚拱空間我反而沒往埃及想。右邊那個木雕講壇結構，我現在想想更像是清真寺的敏拜爾，這明明是更指向埃及的線索，但我當下沒有意識到這一點。我信心其實不太高，最後憑感覺猜了希臘，答案是希臘。"
18,egypt_03_cairo_nile_a_view_from_tahrir_bridge_towards_north_egypt_oct_2004,答對,"圖片中可見一條寬闊的河流，河面上有一艘大型白色遊船，右岸停靠著數艘三角帆船。對岸有現代化的高樓建築群，天空呈現霧霾感。河岸邊種有樹木，背景有一座橋樑橫跨河面。答案是埃及。","這題感覺還算好猜，看到那些三角帆船就有點印象了。河流很寬，城市感也挺明顯的。答案是埃及。","我先注意到河面上停的那幾艘三角帆船，那種帆的形狀讓我有種即時辨識感，好像是尼羅河上常見的費拉卡帆船。再看到對岸那片有點朦朧霧霾的城市天際線，建築風格和整體氛圍讓我聯想到開羅。加上選項裡有埃及，就更確定了，我的信心算滿高的。答案是埃及。","一看到那幾艘三角帆船我就有一種很強的即時辨識感，那是尼羅河上典型的費拉卡帆船，我記得在圖片裡看過很多次。不過我要提醒自己，我對中東地區其實沒那麼熟，會不會是我把「有帆船的大河」都自動連結到埃及？我重新看了一下，那種特定的帆船造型加上城市背景的霧霾感、右岸的植被分布，跟我印象中的開羅尼羅河沿岸真的很像。選項裡伊拉克是底格里斯河、荷蘭和巴西地景完全不對，所以我用排除法也確認了。最後我校準一下信心，我覺得挺確定的。答案是埃及。"
